LAMMPS data file for BaTiO3 core-shell model

5120 atoms
2560 bonds
6 atom types
3 bond types

0.0 32.0000 xlo xhi
0.0 32.0000 ylo yhi
0.0 32.0000 zlo zhi

Masses

1 137.33000  # Ba_core
2 0.00001  # Ba_shell
3 47.86700  # Ti_core
4 0.00001  # Ti_shell
5 15.99900  # O_core
6 0.00001  # O_shell

Atoms # full

1398 699 6 2.6667 8.010000 6.010000 14.010000
1399 700 5 -2.6667 10.000000 4.000000 14.000000
1400 700 6 2.6667 10.010000 4.010000 14.010000
1401 701 1 2.0000 8.000000 4.000000 16.000000
1402 701 2 -2.0000 8.010000 4.010000 16.010000
1403 702 3 4.0000 10.000000 6.000000 18.000000
1404 702 4 -4.0000 10.010000 6.010000 18.010000
1405 703 5 -2.6667 10.000000 6.000000 16.000000
1406 703 6 2.6667 10.010000 6.010000 16.010000
1407 704 5 -2.6667 8.000000 6.000000 18.000000
1408 704 6 2.6667 8.010000 6.010000 18.010000
1409 705 5 -2.6667 10.000000 4.000000 18.000000
1410 705 6 2.6667 10.010000 4.010000 18.010000
1411 706 1 2.0000 8.000000 4.000000 20.000000
1412 706 2 -2.0000 8.010000 4.010000 20.010000
1413 707 3 4.0000 10.000000 6.000000 22.000000
1414 707 4 -4.0000 10.010000 6.010000 22.010000
1415 708 5 -2.6667 10.000000 6.000000 20.000000
1416 708 6 2.6667 10.010000 6.010000 20.010000
1417 709 5 -2.6667 8.000000 6.000000 22.000000
1418 709 6 2.6667 8.010000 6.010000 22.010000
1419 710 5 -2.6667 10.000000 4.000000 22.000000
1420 710 6 2.6667 10.010000 4.010000 22.010000
1421 711 1 2.0000 8.000000 4.000000 24.000000
1422 711 2 -2.0000 8.010000 4.010000 24.010000
1423 712 3 4.0000 10.000000 6.000000 26.000000
1424 712 4 -4.0000 10.010000 6.010000 26.010000
1425 713 5 -2.6667 10.000000 6.000000 24.000000
1426 713 6 2.6667 10.010000 6.010000 24.010000
1427 714 5 -2.6667 8.000000 6.000000 26.000000
1428 714 6 2.6667 8.010000 6.010000 26.010000
1429 715 5 -2.6667 10.000000 4.000000 26.000000
1430 715 6 2.6667 10.010000 4.010000 26.010000
1431 716 1 2.0000 8.000000 4.000000 28.000000
1432 716 2 -2.0000 8.010000 4.010000 28.010000
1433 717 3 4.0000 10.000000 6.000000 30.000000
1434 717 4 -4.0000 10.010000 6.010000 30.010000
1435 718 5 -2.6667 10.000000 6.000000 28.000000
1436 718 6 2.6667 10.010000 6.010000 28.010000
1437 719 5 -2.6667 8.000000 6.000000 30.000000
1438 719 6 2.6667 8.010000 6.010000 30.010000
1439 720 5 -2.6667 10.000000 4.000000 30.000000
1440 720 6 2.6667 10.010000 4.010000 30.010000
1441 721 1 2.0000 8.000000 8.000000 0.000000
1442 721 2 -2.0000 8.010000 8.010000 0.010000
1443 722 3 4.0000 10.000000 10.000000 2.000000
1444 722 4 -4.0000 10.010000 10.010000 2.010000
1445 723 5 -2.6667 10.000000 10.000000 0.000000
1446 723 6 2.6667 10.010000 10.010000 0.010000
1447 724 5 -2.6667 8.000000 10.000000 2.000000
1448 724 6 2.6667 8.010000 10.010000 2.010000
1449 725 5 -2.6667 10.000000 8.000000 2.000000
1450 725 6 2.6667 10.010000 8.010000 2.010000
1451 726 1 2.0000 8.000000 8.000000 4.000000
1452 726 2 -2.0000 8.010000 8.010000 4.010000
1453 727 3 4.0000 10.000000 10.000000 6.000000
1454 727 4 -4.0000 10.010000 10.010000 6.010000
1455 728 5 -2.6667 10.000000 10.000000 4.000000
1456 728 6 2.6667 10.010000 10.010000 4.010000
1457 729 5 -2.6667 8.000000 10.000000 6.000000
1458 729 6 2.6667 8.010000 10.010000 6.010000
1459 730 5 -2.6667 10.000000 8.000000 6.000000
1460 730 6 2.6667 10.010000 8.010000 6.010000
1461 731 1 2.0000 8.000000 8.000000 8.000000
1462 731 2 -2.0000 8.010000 8.010000 8.010000
1463 732 3 4.0000 10.000000 10.000000 10.000000
1464 732 4 -4.0000 10.010000 10.010000 10.010000
1465 733 5 -2.6667 10.000000 10.000000 8.000000
1466 733 6 2.6667 10.010000 10.010000 8.010000
1467 734 5 -2.6667 8.000000 10.000000 10.000000
1468 734 6 2.6667 8.010000 10.010000 10.010000
1469 735 5 -2.6667 10.000000 8.000000 10.000000
1470 735 6 2.6667 10.010000 8.010000 10.010000
1471 736 1 2.0000 8.000000 8.000000 12.000000
1472 736 2 -2.0000 8.010000 8.010000 12.010000
1473 737 3 4.0000 10.000000 10.000000 14.000000
1474 737 4 -4.0000 10.010000 10.010000 14.010000
1475 738 5 -2.6667 10.000000 10.000000 12.000000
1476 738 6 2.6667 10.010000 10.010000 12.010000
1477 739 5 -2.6667 8.000000 10.000000 14.000000
1478 739 6 2.6667 8.010000 10.010000 14.010000
1479 740 5 -2.6667 10.000000 8.000000 14.000000
1480 740 6 2.6667 10.010000 8.010000 14.010000
1481 741 1 2.0000 8.000000 8.000000 16.000000
1482 741 2 -2.0000 8.010000 8.010000 16.010000
1483 742 3 4.0000 10.000000 10.000000 18.000000
1484 742 4 -4.0000 10.010000 10.010000 18.010000
1485 743 5 -2.6667 10.000000 10.000000 16.000000
1486 743 6 2.6667 10.010000 10.010000 16.010000
1487 744 5 -2.6667 8.000000 10.000000 18.000000
1488 744 6 2.6667 8.010000 10.010000 18.010000
1489 745 5 -2.6667 10.000000 8.000000 18.000000
1490 745 6 2.6667 10.010000 8.010000 18.010000
1491 746 1 2.0000 8.000000 8.000000 20.000000
1492 746 2 -2.0000 8.010000 8.010000 20.010000
1493 747 3 4.0000 10.000000 10.000000 22.000000
1494 747 4 -4.0000 10.010000 10.010000 22.010000
1495 748 5 -2.6667 10.000000 10.000000 20.000000
1496 748 6 2.6667 10.010000 10.010000 20.010000
1497 749 5 -2.6667 8.000000 10.000000 22.000000
1498 749 6 2.6667 8.010000 10.010000 22.010000
1499 750 5 -2.6667 10.000000 8.000000 22.000000
1500 750 6 2.6667 10.010000 8.010000 22.010000
1501 751 1 2.0000 8.000000 8.000000 24.000000
1502 751 2 -2.0000 8.010000 8.010000 24.010000
1503 752 3 4.0000 10.000000 10.000000 26.000000
1504 752 4 -4.0000 10.010000 10.010000 26.010000
1505 753 5 -2.6667 10.000000 10.000000 24.000000
1506 753 6 2.6667 10.010000 10.010000 24.010000
1507 754 5 -2.6667 8.000000 10.000000 26.000000
1508 754 6 2.6667 8.010000 10.010000 26.010000
1509 755 5 -2.6667 10.000000 8.000000 26.000000
1510 755 6 2.6667 10.010000 8.010000 26.010000
1511 756 1 2.0000 8.000000 8.000000 28.000000
1512 756 2 -2.0000 8.010000 8.010000 28.010000
1513 757 3 4.0000 10.000000 10.000000 30.000000
1514 757 4 -4.0000 10.010000 10.010000 30.010000
1515 758 5 -2.6667 10.000000 10.000000 28.000000
1516 758 6 2.6667 10.010000 10.010000 28.010000
1517 759 5 -2.6667 8.000000 10.000000 30.000000
1518 759 6 2.6667 8.010000 10.010000 30.010000
1519 760 5 -2.6667 10.000000 8.000000 30.000000
1520 760 6 2.6667 10.010000 8.010000 30.010000
1521 761 1 2.0000 8.000000 12.000000 0.000000
1522 761 2 -2.0000 8.010000 12.010000 0.010000
1523 762 3 4.0000 10.000000 14.000000 2.000000
1524 762 4 -4.0000 10.010000 14.010000 2.010000
1525 763 5 -2.6667 10.000000 14.000000 0.000000
1526 763 6 2.6667 10.010000 14.010000 0.010000
1527 764 5 -2.6667 8.000000 14.000000 2.000000
1528 764 6 2.6667 8.010000 14.010000 2.010000
1529 765 5 -2.6667 10.000000 12.000000 2.000000
1530 765 6 2.6667 10.010000 12.010000 2.010000
1531 766 1 2.0000 8.000000 12.000000 4.000000
1532 766 2 -2.0000 8.010000 12.010000 4.010000
1533 767 3 4.0000 10.000000 14.000000 6.000000
1534 767 4 -4.0000 10.010000 14.010000 6.010000
1535 768 5 -2.6667 10.000000 14.000000 4.000000
1536 768 6 2.6667 10.010000 14.010000 4.010000
1537 769 5 -2.6667 8.000000 14.000000 6.000000
1538 769 6 2.6667 8.010000 14.010000 6.010000
1539 770 5 -2.6667 10.000000 12.000000 6.000000
1540 770 6 2.6667 10.010000 12.010000 6.010000
1541 771 1 2.0000 8.000000 12.000000 8.000000
1542 771 2 -2.0000 8.010000 12.010000 8.010000
1543 772 3 4.0000 10.000000 14.000000 10.000000
1544 772 4 -4.0000 10.010000 14.010000 10.010000
1545 773 5 -2.6667 10.000000 14.000000 8.000000
1546 773 6 2.6667 10.010000 14.010000 8.010000
1547 774 5 -2.6667 8.000000 14.000000 10.000000
1548 774 6 2.6667 8.010000 14.010000 10.010000
1549 775 5 -2.6667 10.000000 12.000000 10.000000
1550 775 6 2.6667 10.010000 12.010000 10.010000
1551 776 1 2.0000 8.000000 12.000000 12.000000
1552 776 2 -2.0000 8.010000 12.010000 12.010000
1553 777 3 4.0000 10.000000 14.000000 14.000000
1554 777 4 -4.0000 10.010000 14.010000 14.010000
1555 778 5 -2.6667 10.000000 14.000000 12.000000
1556 778 6 2.6667 10.010000 14.010000 12.010000
1557 779 5 -2.6667 8.000000 14.000000 14.000000
1558 779 6 2.6667 8.010000 14.010000 14.010000
1559 780 5 -2.6667 10.000000 12.000000 14.000000
1560 780 6 2.6667 10.010000 12.010000 14.010000
1561 781 1 2.0000 8.000000 12.000000 16.000000
1562 781 2 -2.0000 8.010000 12.010000 16.010000
1563 782 3 4.0000 10.000000 14.000000 18.000000
1564 782 4 -4.0000 10.010000 14.010000 18.010000
1565 783 5 -2.6667 10.000000 14.000000 16.000000
1566 783 6 2.6667 10.010000 14.010000 16.010000
1567 784 5 -2.6667 8.000000 14.000000 18.000000
1568 784 6 2.6667 8.010000 14.010000 18.010000
1569 785 5 -2.6667 10.000000 12.000000 18.000000
1570 785 6 2.6667 10.010000 12.010000 18.010000
1571 786 1 2.0000 8.000000 12.000000 20.000000
1572 786 2 -2.0000 8.010000 12.010000 20.010000
1573 787 3 4.0000 10.000000 14.000000 22.000000
1574 787 4 -4.0000 10.010000 14.010000 22.010000
1575 788 5 -2.6667 10.000000 14.000000 20.000000
1576 788 6 2.6667 10.010000 14.010000 20.010000
1577 789 5 -2.6667 8.000000 14.000000 22.000000
1578 789 6 2.6667 8.010000 14.010000 22.010000
1579 790 5 -2.6667 10.000000 12.000000 22.000000
1580 790 6 2.6667 10.010000 12.010000 22.010000
1581 791 1 2.0000 8.000000 12.000000 24.000000
1582 791 2 -2.0000 8.010000 12.010000 24.010000
1583 792 3 4.0000 10.000000 14.000000 26.000000
1584 792 4 -4.0000 10.010000 14.010000 26.010000
1585 793 5 -2.6667 10.000000 14.000000 24.000000
1586 793 6 2.6667 10.010000 14.010000 24.010000
1587 794 5 -2.6667 8.000000 14.000000 26.000000
1588 794 6 2.6667 8.010000 14.010000 26.010000
1589 795 5 -2.6667 10.000000 12.000000 26.000000
1590 795 6 2.6667 10.010000 12.010000 26.010000
1591 796 1 2.0000 8.000000 12.000000 28.000000
1592 796 2 -2.0000 8.010000 12.010000 28.010000
1593 797 3 4.0000 10.000000 14.000000 30.000000
1594 797 4 -4.0000 10.010000 14.010000 30.010000
1595 798 5 -2.6667 10.000000 14.000000 28.000000
1596 798 6 2.6667 10.010000 14.010000 28.010000
1597 799 5 -2.6667 8.000000 14.000000 30.000000
1598 799 6 2.6667 8.010000 14.010000 30.010000
1599 800 5 -2.6667 10.000000 12.000000 30.000000
1600 800 6 2.6667 10.010000 12.010000 30.010000
1601 801 1 2.0000 8.000000 16.000000 0.000000
1602 801 2 -2.0000 8.010000 16.010000 0.010000
1603 802 3 4.0000 10.000000 18.000000 2.000000
1604 802 4 -4.0000 10.010000 18.010000 2.010000
1605 803 5 -2.6667 10.000000 18.000000 0.000000
1606 803 6 2.6667 10.010000 18.010000 0.010000
1607 804 5 -2.6667 8.000000 18.000000 2.000000
1608 804 6 2.6667 8.010000 18.010000 2.010000
1609 805 5 -2.6667 10.000000 16.000000 2.000000
1610 805 6 2.6667 10.010000 16.010000 2.010000
1611 806 1 2.0000 8.000000 16.000000 4.000000
1612 806 2 -2.0000 8.010000 16.010000 4.010000
1613 807 3 4.0000 10.000000 18.000000 6.000000
1614 807 4 -4.0000 10.010000 18.010000 6.010000
1615 808 5 -2.6667 10.000000 18.000000 4.000000
1616 808 6 2.6667 10.010000 18.010000 4.010000
1617 809 5 -2.6667 8.000000 18.000000 6.000000
1618 809 6 2.6667 8.010000 18.010000 6.010000
1619 810 5 -2.6667 10.000000 16.000000 6.000000
1620 810 6 2.6667 10.010000 16.010000 6.010000
1621 811 1 2.0000 8.000000 16.000000 8.000000
1622 811 2 -2.0000 8.010000 16.010000 8.010000
1623 812 3 4.0000 10.000000 18.000000 10.000000
1624 812 4 -4.0000 10.010000 18.010000 10.010000
1625 813 5 -2.6667 10.000000 18.000000 8.000000
1626 813 6 2.6667 10.010000 18.010000 8.010000
1627 814 5 -2.6667 8.000000 18.000000 10.000000
1628 814 6 2.6667 8.010000 18.010000 10.010000
1629 815 5 -2.6667 10.000000 16.000000 10.000000
1630 815 6 2.6667 10.010000 16.010000 10.010000
1631 816 1 2.0000 8.000000 16.000000 12.000000
1632 816 2 -2.0000 8.010000 16.010000 12.010000
1633 817 3 4.0000 10.000000 18.000000 14.000000
1634 817 4 -4.0000 10.010000 18.010000 14.010000
1635 818 5 -2.6667 10.000000 18.000000 12.000000
1636 818 6 2.6667 10.010000 18.010000 12.010000
1637 819 5 -2.6667 8.000000 18.000000 14.000000
1638 819 6 2.6667 8.010000 18.010000 14.010000
1639 820 5 -2.6667 10.000000 16.000000 14.000000
1640 820 6 2.6667 10.010000 16.010000 14.010000
1641 821 1 2.0000 8.000000 16.000000 16.000000
1642 821 2 -2.0000 8.010000 16.010000 16.010000
1643 822 3 4.0000 10.000000 18.000000 18.000000
1644 822 4 -4.0000 10.010000 18.010000 18.010000
1645 823 5 -2.6667 10.000000 18.000000 16.000000
1646 823 6 2.6667 10.010000 18.010000 16.010000
1647 824 5 -2.6667 8.000000 18.000000 18.000000
1648 824 6 2.6667 8.010000 18.010000 18.010000
1649 825 5 -2.6667 10.000000 16.000000 18.000000
1650 825 6 2.6667 10.010000 16.010000 18.010000
1651 826 1 2.0000 8.000000 16.000000 20.000000
1652 826 2 -2.0000 8.010000 16.010000 20.010000
1653 827 3 4.0000 10.000000 18.000000 22.000000
1654 827 4 -4.0000 10.010000 18.010000 22.010000
1655 828 5 -2.6667 10.000000 18.000000 20.000000
1656 828 6 2.6667 10.010000 18.010000 20.010000
1657 829 5 -2.6667 8.000000 18.000000 22.000000
1658 829 6 2.6667 8.010000 18.010000 22.010000
1659 830 5 -2.6667 10.000000 16.000000 22.000000
1660 830 6 2.6667 10.010000 16.010000 22.010000
1661 831 1 2.0000 8.000000 16.000000 24.000000
1662 831 2 -2.0000 8.010000 16.010000 24.010000
1663 832 3 4.0000 10.000000 18.000000 26.000000
1664 832 4 -4.0000 10.010000 18.010000 26.010000
1665 833 5 -2.6667 10.000000 18.000000 24.000000
1666 833 6 2.6667 10.010000 18.010000 24.010000
1667 834 5 -2.6667 8.000000 18.000000 26.000000
1668 834 6 2.6667 8.010000 18.010000 26.010000
1669 835 5 -2.6667 10.000000 16.000000 26.000000
1670 835 6 2.6667 10.010000 16.010000 26.010000
1671 836 1 2.0000 8.000000 16.000000 28.000000
1672 836 2 -2.0000 8.010000 16.010000 28.010000
1673 837 3 4.0000 10.000000 18.000000 30.000000
1674 837 4 -4.0000 10.010000 18.010000 30.010000
1675 838 5 -2.6667 10.000000 18.000000 28.000000
1676 838 6 2.6667 10.010000 18.010000 28.010000
1677 839 5 -2.6667 8.000000 18.000000 30.000000
1678 839 6 2.6667 8.010000 18.010000 30.010000
1679 840 5 -2.6667 10.000000 16.000000 30.000000
1680 840 6 2.6667 10.010000 16.010000 30.010000
1681 841 1 2.0000 8.000000 20.000000 0.000000
1682 841 2 -2.0000 8.010000 20.010000 0.010000
1683 842 3 4.0000 10.000000 22.000000 2.000000
1684 842 4 -4.0000 10.010000 22.010000 2.010000
1685 843 5 -2.6667 10.000000 22.000000 0.000000
1686 843 6 2.6667 10.010000 22.010000 0.010000
1687 844 5 -2.6667 8.000000 22.000000 2.000000
1688 844 6 2.6667 8.010000 22.010000 2.010000
1689 845 5 -2.6667 10.000000 20.000000 2.000000
1690 845 6 2.6667 10.010000 20.010000 2.010000
1691 846 1 2.0000 8.000000 20.000000 4.000000
1692 846 2 -2.0000 8.010000 20.010000 4.010000
1693 847 3 4.0000 10.000000 22.000000 6.000000
1694 847 4 -4.0000 10.010000 22.010000 6.010000
1695 848 5 -2.6667 10.000000 22.000000 4.000000
1696 848 6 2.6667 10.010000 22.010000 4.010000
1697 849 5 -2.6667 8.000000 22.000000 6.000000
1698 849 6 2.6667 8.010000 22.010000 6.010000
1699 850 5 -2.6667 10.000000 20.000000 6.000000
1700 850 6 2.6667 10.010000 20.010000 6.010000
1701 851 1 2.0000 8.000000 20.000000 8.000000
1702 851 2 -2.0000 8.010000 20.010000 8.010000
1703 852 3 4.0000 10.000000 22.000000 10.000000
1704 852 4 -4.0000 10.010000 22.010000 10.010000
1705 853 5 -2.6667 10.000000 22.000000 8.000000
1706 853 6 2.6667 10.010000 22.010000 8.010000
1707 854 5 -2.6667 8.000000 22.000000 10.000000
1708 854 6 2.6667 8.010000 22.010000 10.010000
1709 855 5 -2.6667 10.000000 20.000000 10.000000
1710 855 6 2.6667 10.010000 20.010000 10.010000
1711 856 1 2.0000 8.000000 20.000000 12.000000
1712 856 2 -2.0000 8.010000 20.010000 12.010000
1713 857 3 4.0000 10.000000 22.000000 14.000000
1714 857 4 -4.0000 10.010000 22.010000 14.010000
1715 858 5 -2.6667 10.000000 22.000000 12.000000
1716 858 6 2.6667 10.010000 22.010000 12.010000
1717 859 5 -2.6667 8.000000 22.000000 14.000000
1718 859 6 2.6667 8.010000 22.010000 14.010000
1719 860 5 -2.6667 10.000000 20.000000 14.000000
1720 860 6 2.6667 10.010000 20.010000 14.010000
1721 861 1 2.0000 8.000000 20.000000 16.000000
1722 861 2 -2.0000 8.010000 20.010000 16.010000
1723 862 3 4.0000 10.000000 22.000000 18.000000
1724 862 4 -4.0000 10.010000 22.010000 18.010000
1725 863 5 -2.6667 10.000000 22.000000 16.000000
1726 863 6 2.6667 10.010000 22.010000 16.010000
1727 864 5 -2.6667 8.000000 22.000000 18.000000
1728 864 6 2.6667 8.010000 22.010000 18.010000
1729 865 5 -2.6667 10.000000 20.000000 18.000000
1730 865 6 2.6667 10.010000 20.010000 18.010000
1731 866 1 2.0000 8.000000 20.000000 20.000000
1732 866 2 -2.0000 8.010000 20.010000 20.010000
1733 867 3 4.0000 10.000000 22.000000 22.000000
1734 867 4 -4.0000 10.010000 22.010000 22.010000
1735 868 5 -2.6667 10.000000 22.000000 20.000000
1736 868 6 2.6667 10.010000 22.010000 20.010000
1737 869 5 -2.6667 8.000000 22.000000 22.000000
1738 869 6 2.6667 8.010000 22.010000 22.010000
1739 870 5 -2.6667 10.000000 20.000000 22.000000
1740 870 6 2.6667 10.010000 20.010000 22.010000
1741 871 1 2.0000 8.000000 20.000000 24.000000
1742 871 2 -2.0000 8.010000 20.010000 24.010000
1743 872 3 4.0000 10.000000 22.000000 26.000000
1744 872 4 -4.0000 10.010000 22.010000 26.010000
1745 873 5 -2.6667 10.000000 22.000000 24.000000
1746 873 6 2.6667 10.010000 22.010000 24.010000
1747 874 5 -2.6667 8.000000 22.000000 26.000000
1748 874 6 2.6667 8.010000 22.010000 26.010000
1749 875 5 -2.6667 10.000000 20.000000 26.000000
1750 875 6 2.6667 10.010000 20.010000 26.010000
1751 876 1 2.0000 8.000000 20.000000 28.000000
1752 876 2 -2.0000 8.010000 20.010000 28.010000
1753 877 3 4.0000 10.000000 22.000000 30.000000
1754 877 4 -4.0000 10.010000 22.010000 30.010000
1755 878 5 -2.6667 10.000000 22.000000 28.000000
1756 878 6 2.6667 10.010000 22.010000 28.010000
1757 879 5 -2.6667 8.000000 22.000000 30.000000
1758 879 6 2.6667 8.010000 22.010000 30.010000
1759 880 5 -2.6667 10.000000 20.000000 30.000000
1760 880 6 2.6667 10.010000 20.010000 30.010000
1761 881 1 2.0000 8.000000 24.000000 0.000000
1762 881 2 -2.0000 8.010000 24.010000 0.010000
1763 882 3 4.0000 10.000000 26.000000 2.000000
1764 882 4 -4.0000 10.010000 26.010000 2.010000
1765 883 5 -2.6667 10.000000 26.000000 0.000000
1766 883 6 2.6667 10.010000 26.010000 0.010000
1767 884 5 -2.6667 8.000000 26.000000 2.000000
1768 884 6 2.6667 8.010000 26.010000 2.010000
1769 885 5 -2.6667 10.000000 24.000000 2.000000
1770 885 6 2.6667 10.010000 24.010000 2.010000
1771 886 1 2.0000 8.000000 24.000000 4.000000
1772 886 2 -2.0000 8.010000 24.010000 4.010000
1773 887 3 4.0000 10.000000 26.000000 6.000000
1774 887 4 -4.0000 10.010000 26.010000 6.010000
1775 888 5 -2.6667 10.000000 26.000000 4.000000
1776 888 6 2.6667 10.010000 26.010000 4.010000
1777 889 5 -2.6667 8.000000 26.000000 6.000000
1778 889 6 2.6667 8.010000 26.010000 6.010000
1779 890 5 -2.6667 10.000000 24.000000 6.000000
1780 890 6 2.6667 10.010000 24.010000 6.010000
1781 891 1 2.0000 8.000000 24.000000 8.000000
1782 891 2 -2.0000 8.010000 24.010000 8.010000
1783 892 3 4.0000 10.000000 26.000000 10.000000
1784 892 4 -4.0000 10.010000 26.010000 10.010000
1785 893 5 -2.6667 10.000000 26.000000 8.000000
1786 893 6 2.6667 10.010000 26.010000 8.010000
1787 894 5 -2.6667 8.000000 26.000000 10.000000
1788 894 6 2.6667 8.010000 26.010000 10.010000
1789 895 5 -2.6667 10.000000 24.000000 10.000000
1790 895 6 2.6667 10.010000 24.010000 10.010000
1791 896 1 2.0000 8.000000 24.000000 12.000000
1792 896 2 -2.0000 8.010000 24.010000 12.010000
1793 897 3 4.0000 10.000000 26.000000 14.000000
1794 897 4 -4.0000 10.010000 26.010000 14.010000
1795 898 5 -2.6667 10.000000 26.000000 12.000000
1796 898 6 2.6667 10.010000 26.010000 12.010000
1797 899 5 -2.6667 8.000000 26.000000 14.000000
1798 899 6 2.6667 8.010000 26.010000 14.010000
1799 900 5 -2.6667 10.000000 24.000000 14.000000
1800 900 6 2.6667 10.010000 24.010000 14.010000
1801 901 1 2.0000 8.000000 24.000000 16.000000
1802 901 2 -2.0000 8.010000 24.010000 16.010000
1803 902 3 4.0000 10.000000 26.000000 18.000000
1804 902 4 -4.0000 10.010000 26.010000 18.010000
1805 903 5 -2.6667 10.000000 26.000000 16.000000
1806 903 6 2.6667 10.010000 26.010000 16.010000
1807 904 5 -2.6667 8.000000 26.000000 18.000000
1808 904 6 2.6667 8.010000 26.010000 18.010000
1809 905 5 -2.6667 10.000000 24.000000 18.000000
1810 905 6 2.6667 10.010000 24.010000 18.010000
1811 906 1 2.0000 8.000000 24.000000 20.000000
1812 906 2 -2.0000 8.010000 24.010000 20.010000
1813 907 3 4.0000 10.000000 26.000000 22.000000
1814 907 4 -4.0000 10.010000 26.010000 22.010000
1815 908 5 -2.6667 10.000000 26.000000 20.000000
1816 908 6 2.6667 10.010000 26.010000 20.010000
1817 909 5 -2.6667 8.000000 26.000000 22.000000
1818 909 6 2.6667 8.010000 26.010000 22.010000
1819 910 5 -2.6667 10.000000 24.000000 22.000000
1820 910 6 2.6667 10.010000 24.010000 22.010000
1821 911 1 2.0000 8.000000 24.000000 24.000000
1822 911 2 -2.0000 8.010000 24.010000 24.010000
1823 912 3 4.0000 10.000000 26.000000 26.000000
1824 912 4 -4.0000 10.010000 26.010000 26.010000
1825 913 5 -2.6667 10.000000 26.000000 24.000000
1826 913 6 2.6667 10.010000 26.010000 24.010000
1827 914 5 -2.6667 8.000000 26.000000 26.000000
1828 914 6 2.6667 8.010000 26.010000 26.010000
1829 915 5 -2.6667 10.000000 24.000000 26.000000
1830 915 6 2.6667 10.010000 24.010000 26.010000
1831 916 1 2.0000 8.000000 24.000000 28.000000
1832 916 2 -2.0000 8.010000 24.010000 28.010000
1833 917 3 4.0000 10.000000 26.000000 30.000000
1834 917 4 -4.0000 10.010000 26.010000 30.010000
1835 918 5 -2.6667 10.000000 26.000000 28.000000
1836 918 6 2.6667 10.010000 26.010000 28.010000
1837 919 5 -2.6667 8.000000 26.000000 30.000000
1838 919 6 2.6667 8.010000 26.010000 30.010000
1839 920 5 -2.6667 10.000000 24.000000 30.000000
1840 920 6 2.6667 10.010000 24.010000 30.010000
1841 921 1 2.0000 8.000000 28.000000 0.000000
1842 921 2 -2.0000 8.010000 28.010000 0.010000
1843 922 3 4.0000 10.000000 30.000000 2.000000
1844 922 4 -4.0000 10.010000 30.010000 2.010000
1845 923 5 -2.6667 10.000000 30.000000 0.000000
1846 923 6 2.6667 10.010000 30.010000 0.010000
1847 924 5 -2.6667 8.000000 30.000000 2.000000
1848 924 6 2.6667 8.010000 30.010000 2.010000
1849 925 5 -2.6667 10.000000 28.000000 2.000000
1850 925 6 2.6667 10.010000 28.010000 2.010000
1851 926 1 2.0000 8.000000 28.000000 4.000000
1852 926 2 -2.0000 8.010000 28.010000 4.010000
1853 927 3 4.0000 10.000000 30.000000 6.000000
1854 927 4 -4.0000 10.010000 30.010000 6.010000
1855 928 5 -2.6667 10.000000 30.000000 4.000000
1856 928 6 2.6667 10.010000 30.010000 4.010000
1857 929 5 -2.6667 8.000000 30.000000 6.000000
1858 929 6 2.6667 8.010000 30.010000 6.010000
1859 930 5 -2.6667 10.000000 28.000000 6.000000
1860 930 6 2.6667 10.010000 28.010000 6.010000
1861 931 1 2.0000 8.000000 28.000000 8.000000
1862 931 2 -2.0000 8.010000 28.010000 8.010000
1863 932 3 4.0000 10.000000 30.000000 10.000000
1864 932 4 -4.0000 10.010000 30.010000 10.010000
1865 933 5 -2.6667 10.000000 30.000000 8.000000
1866 933 6 2.6667 10.010000 30.010000 8.010000
1867 934 5 -2.6667 8.000000 30.000000 10.000000
1868 934 6 2.6667 8.010000 30.010000 10.010000
1869 935 5 -2.6667 10.000000 28.000000 10.000000
1870 935 6 2.6667 10.010000 28.010000 10.010000
1871 936 1 2.0000 8.000000 28.000000 12.000000
1872 936 2 -2.0000 8.010000 28.010000 12.010000
1873 937 3 4.0000 10.000000 30.000000 14.000000
1874 937 4 -4.0000 10.010000 30.010000 14.010000
1875 938 5 -2.6667 10.000000 30.000000 12.000000
1876 938 6 2.6667 10.010000 30.010000 12.010000
1877 939 5 -2.6667 8.000000 30.000000 14.000000
1878 939 6 2.6667 8.010000 30.010000 14.010000
1879 940 5 -2.6667 10.000000 28.000000 14.000000
1880 940 6 2.6667 10.010000 28.010000 14.010000
1881 941 1 2.0000 8.000000 28.000000 16.000000
1882 941 2 -2.0000 8.010000 28.010000 16.010000
1883 942 3 4.0000 10.000000 30.000000 18.000000
1884 942 4 -4.0000 10.010000 30.010000 18.010000
1885 943 5 -2.6667 10.000000 30.000000 16.000000
1886 943 6 2.6667 10.010000 30.010000 16.010000
1887 944 5 -2.6667 8.000000 30.000000 18.000000
1888 944 6 2.6667 8.010000 30.010000 18.010000
1889 945 5 -2.6667 10.000000 28.000000 18.000000
1890 945 6 2.6667 10.010000 28.010000 18.010000
1891 946 1 2.0000 8.000000 28.000000 20.000000
1892 946 2 -2.0000 8.010000 28.010000 20.010000
1893 947 3 4.0000 10.000000 30.000000 22.000000
1894 947 4 -4.0000 10.010000 30.010000 22.010000
1895 948 5 -2.6667 10.000000 30.000000 20.000000
1896 948 6 2.6667 10.010000 30.010000 20.010000
1897 949 5 -2.6667 8.000000 30.000000 22.000000
1898 949 6 2.6667 8.010000 30.010000 22.010000
1899 950 5 -2.6667 10.000000 28.000000 22.000000
